correct_sentence,incorrect_sentences
බල්ලා ගෙදර දුවනවා.,ගෙදර බල්ලා දුවනවා
ළමයි පාසලේ ඉගෙනගන්නවා.,ළමයි ඉගෙනගන්නවා පාසලේ
ගුරුවරයා පොත කියවනවා.,කියවනවා පොත ගුරුවරයා
මම බත් කනවා.,මම කනවා බත්
ඇය තේ බොනවා.,ඇය බොනවා තේ
හිරු උදේ නැගෙනහිරින් උදාවෙනවා.,හිරු උදේ උදාවෙනවා නැගෙනහිරින්
වැස්ස නිසා ළමයි පාසලට ගියේ නැහැ.,ළමයි නිසා වැස්ස පාසලට ගියේ නැහැ
සීයා කතාවක් කියනවා.,සීයා කියනවා කතාවක්
අපි හෙට නුවර යනවා.,අපි හෙට යනවා නුවර
ගොවියා කුඹුරේ වැඩ කරනවා.,කුඹුරේ ගොවියා වැඩ කරනවා
මල් පිපී තිබෙනවා.,තිබෙනවා පිපී මල්
කුරුල්ලෝ අහසේ පියාඹනවා.,අහසේ කුරුල්ලෝ පියාඹනවා
මුහුද ලස්සනයි.,ලස්සනයි මුහුද
රජය නව නීති ගෙනාවා.,රජය නීති නව ගෙනාවා
තරුණයන් රටේ අනාගතය වෙනස් කරනවා.,තරුණයන් වෙනස් අනාගතය රටේ කරනවා
මම පොතක් ලියනවා.,පොතක් මම ලියනවා
ඔයා මොකද කරන්නේ?,ඔයා කරන්නේ? මොකද
ඔහු ගීතයක් ගායනා කරනවා.,ගීතයක් ඔහු ගායනා කරනවා
ඇය පින්තූරයක් අඳිනවා.,පින්තූරයක් ඇය අඳිනවා
අපි සිනමා බලන්න යනවා.,අපි සිනමා යනවා බලන්න
ඔවුන් ක්‍රීඩා කරනවා.,ඔවුන් කරනවා ක්\u200dරීඩා
බස් එක එනවා.,එක බස් එනවා
දුම්රිය පිටත් වෙනවා.,දුම්රිය වෙනවා පිටත්
ගුවන් යානය අහසේ පියාඹනවා.,ගුවන් පියාඹනවා අහසේ යානය
මම හෙට එන්නම්.,එන්නම් හෙට මම
ඔයා අද එනවද?,අද ඔයා එනවද?
ඔහු ඊයේ ආවා.,ඊයේ ඔහු ආවා
ඇය හෙට යනවා.,හෙට ඇය යනවා
අපි සතියකින් එනවා.,අපි එනවා සතියකින්
ඔවුන් මාසයකින් එනවා.,මාසයකින් ඔවුන් එනවා
ගස උසයි.,උසයි ගස
මල් ලස්සනයි.,ලස්සනයි මල්
නිවස ලොකුයි.,ලොකුයි නිවස
කාර් එක වේගයෙන් යනවා.,වේගයෙන් එක කාර් යනවා
බයිසිකලය සෙමින් යනවා.,යනවා සෙමින් බයිසිකලය
මම පාන් කනවා.,පාන් මම කනවා
ඔයා කෝපි බොනවද?,කෝපි ඔයා බොනවද?
ඔහු තේ බොන්න කැමතියි.,කැමතියි තේ බොන්න ඔහු
ඇය කේක් හදනවා.,හදනවා කේක් ඇය
අපි චිත්‍රපටියක් බලමු.,චිත්\u200dරපටියක් අපි බලමු
ඔවුන් ගීත අහනවා.,අහනවා ගීත ඔවුන්
මම ගෙදර ඉන්නවා.,ගෙදර මම ඉන්නවා
ඔයා කොහෙද ඉන්නේ?,ඉන්නේ? කොහෙද ඔයා
ඔහු පාසලේ ඉන්නවා.,ඉන්නවා පාසලේ ඔහු
ඇය කාර්යාලයේ ඉන්නවා.,කාර්යාලයේ ඇය ඉන්නවා
අපි නුවර ඉන්නවා.,නුවර අපි ඉන්නවා
ඔවුන් කොළඹ ඉන්නවා.,ඔවුන් ඉන්නවා කොළඹ
මම පොතක් කියවන්න කැමතියි.,පොතක් මම කියවන්න කැමතියි
ඔයා මොනවද කරන්නේ?,මොනවද ඔයා කරන්නේ?
ඔහු ක්‍රිකට් සෙල්ලම් කරනවා.,ක්\u200dරිකට් ඔහු සෙල්ලම් කරනවා
ඇය නර්තනය කරනවා.,නර්තනය ඇය කරනවා
අපි සංචාරය කරනවා.,සංචාරය අපි කරනවා
ඔවුන් සාප්පු යනවා.,යනවා සාප්පු ඔවුන්
මම හෙට වැඩට යනවා.,වැඩට හෙට මම යනවා
ඔයා අද වැඩට යනවද?,ඔයා යනවද? වැඩට අද
ඔහු ඊයේ වැඩට ගියා.,ගියා ඊයේ වැඩට ඔහු
ඇය හෙට නිවාඩු ගන්නවා.,ඇය ගන්නවා නිවාඩු හෙට
අපි සතියකින් ආපහු එනවා.,අපි සතියකින් ආපයි එනවා
ඔවුන් මාසයකින් විදේශගත වෙනවා.,ඔවුන් වෙනවා විදේශගත මාසයකින්
මම උදේ නැගිටිනවා.,මම නැගිටිනවා උදේ
ඔයා රෑට නිදාගන්නවා.,නිදාගන්නවා රෑට ඔයා
ඔහු දවල්ට කනවා.,ඔයි දවල්ට කනවා
ඇය සවස තේ බොනවා.,ඇය සවස බොනවා තේ
අපි සති අන්තයේ විනෝද වෙනවා.,අපි සති අන්තයේ වෙනවා විනෝද
ඔවුන් නිවාඩුවක් ගත කරනවා.,නිවාඩුවක් ඔවුන් ගත කරනවා
මම ගීතයක් අහනවා.,මම අහනවා ගීතයක්
ඔයා චිත්‍රපටියක් බලනවද?,චිත්\u200dරපටියක් ඔයා බලනවද?
ඔහු ක්‍රීඩාවක් කරනවා.,ඔහු කරනවා ක්\u200dරීඩාවක්
ඇය පොතක් කියවනවා.,කියවනවා පොතක් ඇය
අපි ගමනක් යනවා.,ගමනක් අපි යනවා
ඔවුන් සාප්පුවකට යනවා.,යනවා සාප්පුවකට ඔවුන්
මම පෑනකින් ලියනවා.,ලියනවා පෑනකින් මම
ඔයා පැන්සලකින් අඳිනවද?,පැන්සලකින් ඔයා අඳිනවද?
ඔහු බුරුසුවකින් පාට කරනවා.,ඔහු කරනවා පාට බුරුසුවකින්
ඇය කතුරකින් කපනවා.,කතුරකින් ඇය කපනවා
අපි පිහියකින් කපනවා.,පිහියකින් අපි කපනවා
ඔවුන් හැන්දකින් කනවා.,හැන්දකින් ඔවුන් කනවා
මම බස් එකේ යනවා.,යනවා බස් එකේ මම
ඔයා දුම්රියෙන් යනවද?,දුම්රියෙන් ඔයා යනවද?
ඔහු කාර් එකෙන් යනවා.,ඔහි කාර් එකෙන් යනවා
ඇය බයිසිකලයෙන් යනවා.,ඇය යනවා බයිසිකලයෙන්
අපි පයින් යනවා.,පයින් අපි යනවා
ඔවුන් ගුවන් යානයෙන් යනවා.,ඔවුන් යනවා යානයෙන් ගුවන්
මම පොත් කියවන්න කැමතියි.,කියවන්න පොත් මම කැමතියි
ඔයා චිත්‍ර අඳින්න කැමතිද?,ඔයා චිත්\u200dර කැමතිද? අඳින්න
ඔහු සංගීතයට කැමතියි.,සංගීතයට ඔහු කැමතියි
ඇය නර්තනයට කැමතියි.,නර්තනයට ඇය කැමතියි
අපි ක්‍රීඩාවට කැමතියි.,ක්\u200dරීඩාවට අපි කැමතියි
ඔවුන් සිනමාවට කැමතියි.,ඔවුන් කැමතියි සිනමාවට
මම උදේට තේ බොනවා.,බොනවා උදේට තේ මම
ඔයා දවල්ට බත් කනවද?,ඔයා බත් දවල්ට කනවද?
ඔහු රෑට කනවා.,රෑට ඔහු කනවා
ඇය සවස කෝපි බොනවා.,කෝපි සවස ඇය බොනවා
අපි සති අන්තයේ විවේක ගන්නවා.,අපි සහු අන්තයේ විවේක ගන්නවා
ඔවුන් නිවාඩුවක් ගත කරනවා.,ගත නිවාඩුවක් ඔවුන් කරනවා
මම මිතුරන් සමඟ කතා කරනවා.,කරනවා මිතුරන් සමඟ කතා මම
ඔයා පවුලේ අය සමඟ ඉන්නවද?,ඔයා ඉන්නවද? අය සමඟ පවුලේ
ඔහු වැඩට යනවා.,වැඩට ඔහු යනවා
ඇය සාප්පුවට යනවා.,සාප්පුවට ඇය යනවා
අපි පාසලට යනවා.,පාසලට අපි යනවා
ඔවුන් ගෙදර එනවා.,ඔවුන් එනවා ගෙදර
මම පොතක් මිලදී ගන්නවා.,මම මිලදී පොතක් ගන්නවා
ඔයා පෑනක් ගන්නවද?,ගන්නවද? පෑනක් ඔයා
ඔහු කෑම උයනවා.,ඔහි කෑම උයනවා
ඇය ඇඳුම් මහනවා.,මහනවා ඇඳුම් ඇය
අපි ගෙවල් හදනවා.,ගෙවල් අපි හදනවා
ඔවුන් වාහන පදවනවා.,වාහන ඔවුන් පදවනවා
මම ගහක් සිටවනවා.,සිටවනවා ගහක් මම
ඔයා මල් වවනවද?,ඔයා වවනවද? මල්
ඔහු සතුන්ට කෑම දෙනවා.,දෙනවා සතුන්ට කෑම ඔහු
ඇය කුරුල්ලන්ට කෑම දෙනවා.,කුරුල්ලන්ට ඇය කෑම දෙනවා
අපි සත්තු වත්තට යනවා.,අපි සත්තු යනවා වත්තට
ඔවුන් කෞතුකාගාරයට යනවා.,ඔවුන් යනවා කෞතුකාගාරයට
මම පාර දිගේ ඇවිදිනවා.,ඇවිදිනවා පාර දිගේ මම
ඔයා බස් නැවතුමට යනවද?,යනවද? බස් නැවතුමට ඔයා
ඔහු දුම්රිය ස්ථානයට යනවා.,යනවා දුම්රිය ස්ථානයට ඔහු
ඇය ගුවන් තොටුපළට යනවා.,තොටුපළට ගුවන් ඇය යනවා
අපි මුහුදු වෙරළට යනවා.,මුහුදු අපි වෙරළට යනවා
ඔවුන් කඳු නගිනවා.,කඳු ඔවුන් නගිනවා
මම ගඟේ නානවා.,නානවා ගඟේ මම
ඔයා වැව ළඟ ඉන්නවද?,ළඟ වැව ඔයා ඉන්නවද?
ඔහු කන්ද උඩ ඉන්නවා.,උඩ කන්ද ඔහු ඉන්නවා
ඇය වනාන්තරයේ ඇවිදිනවා.,ඇය ඇවිදිනවා වනාන්තරයේ
අපි ගොවිපොළට යනවා.,අපි යනවා ගොවිපොළට
ඔවුන් නගරයේ ජීවත් වෙනවා.,ජීවත් නගරයේ ඔවුන් වෙනවා
මම ගමේ ජීවත් වෙනවා.,මම වෙනවා ජීවත් ගමේ
ඔයා නගරයට යනවද?,යනවද? නගරයට ඔයා
ඔහු ගමට එනවා.,එනවා ගමට ඔහු
ඇය පාසලට යනවා.,යනවා පාසලට ඇය
අපි පන්සලට යනවා.,අපි යනවා පන්සලට
ඔවුන් පල්ලියට යනවා.,යනවා පල්ලියට ඔවුන්
මම පින්තූරයක් බලනවා.,මම බලනවා පින්තූරයක්
ඔයා වීඩියෝ එකක් බලනවද?,එකක් වීඩියෝ ඔයා බලනවද?
ඔහු රූපවාහිනිය බලනවා.,රූපවාහිනිය ඔහු බලනවා
ඇය ගුවන් විදුලියට සවන් දෙනවා.,ගුවන් ඇය විදුලියට සවන් දෙනවා
අපි සංගීත භාණ්ඩ වාදනය කරනවා.,අපි වාදනය භාණ්ඩ සංගීත කරනවා
ඔවුන් නාට්‍ය බලනවා.,නාට්\u200dය ඔවුන් බලනවා
මම කතාවක් ලියනවා.,මම ලියනවා කතාවක්
ඔයා කවි ලියනවද?,ඔයා ලියනවද? කවි
ඔහු නවකතාවක් ලියනවා.,ඔහු ලියනවා නවකතාවක්
ඇය ලිපියක් ලියනවා.,ලිපියක් ඇය ලියනවා
අපි වාර්තාවක් ලියනවා.,වාර්තාවක් අපි ලියනවා
ඔවුන් පුවත්පතක් කියවනවා.,පුවත්පතක් ඔවුන් කියවනවා
මම දුරකථනයෙන් කතා කරනවා.,මම කතා දුරකථනයෙන් කරනවා
ඔයා පරිගණකයක් පාවිච්චි කරනවද?,කරනවද? පරිගණකයක් පාවිච්චි ඔයා
